x,y
-245.8850571,-124.2662929
-246.7209381,-123.7175448
-247.5568164,-123.1687926
-248.3926921,-122.6200364
-249.228565,-122.071276
-250.0644351,-121.5225113
-250.9003024,-120.9737424
-251.7361669,-120.4249692
-252.5720285,-119.8761915
-253.4078872,-119.3274094
-254.2437429,-118.7786228
-255.0795956,-118.2298316
-255.9154452,-117.6810358
-256.7512918,-117.1322352
-257.5871352,-116.5834299
-258.4229754,-116.0346198
-259.2588125,-115.4858047
-260.0946463,-114.9369848
-260.9304768,-114.3881598
-261.766304,-113.8393297
-262.6021278,-113.2904946
-263.4379482,-112.7416542
-264.2737651,-112.1928086
-265.1095786,-111.6439576
-265.9453885,-111.0951013
-266.7811949,-110.5462395
-267.6169977,-109.9973723
-268.4527968,-109.4484995
-269.2885922,-108.899621
-270.1243839,-108.3507369
-270.9601718,-107.8018471
-271.7959559,-107.2529514
-272.6317361,-106.7040499
-273.4675125,-106.1551425
-274.3032849,-105.606229
-275.1390534,-105.0573096
-275.9748178,-104.508384
-276.8105782,-103.9594522
-277.6463345,-103.4105142
-278.4820867,-102.86157
-279.3178347,-102.3126193
-280.1535784,-101.7636623
-280.989318,-101.2146988
-281.8250532,-100.6657287
-282.6607841,-100.1167521
-283.4965107,-99.5677688
-284.3322328,-99.0187788
-285.1679504,-98.469782
-286.0036636,-97.9207783
-286.8393722,-97.3717678
-287.6750763,-96.8227503
-288.5107758,-96.2737257
-289.3464706,-95.7246941
-290.1821607,-95.1756554
-291.017846,-94.6266094
-291.8535266,-94.0775562
-292.6892024,-93.5284956
-293.5248733,-92.9794277
-294.3605393,-92.4303523
-295.1962004,-91.8812693
-296.0318565,-91.3321789
-296.8675076,-90.7830807
-297.7031537,-90.2339749
-298.5387946,-89.6848613
-299.3744304,-89.1357399
-300.2100611,-88.5866107
-301.0456865,-88.0374735
-301.8813066,-87.4883283
-302.7169215,-86.939175
-303.552531,-86.3900136
-304.3881351,-85.840844
-305.2237339,-85.2916662
-306.0593271,-84.7424801
-306.8949149,-84.1932856
-307.7304971,-83.6440827
-308.5660738,-83.0948713
-309.4016448,-82.5456513
-310.2372102,-81.9964227
-311.0727698,-81.4471855
-311.9083238,-80.8979395
-312.7438719,-80.3486848
-313.5794142,-79.7994211
-314.4149507,-79.2501486
-315.2504813,-78.7008671
-316.0860059,-78.1515765
-316.9215245,-77.6022769
-317.7570371,-77.0529681
-318.5925437,-76.50365
-319.4280441,-75.9543227
-320.2635385,-75.4049861
-321.0990266,-74.85564
-321.9345085,-74.3062845
-322.7699841,-73.7569194
-323.6054535,-73.2075448
-324.4409165,-72.6581605
-325.2763731,-72.1087665
-326.1118232,-71.5593628
-326.947267,-71.0099492
-327.7827042,-70.4605257
-328.6181348,-69.9110922
-329.4535589,-69.3616488
-330.2889764,-68.8121953
-331.1243872,-68.2627316
-331.9597913,-67.7132577
-332.7951886,-67.1637736
-333.6305791,-66.6142792
-334.4659629,-66.0647744
-335.3013397,-65.5152591
-336.1367097,-64.9657334
-336.9720727,-64.416197
-337.8074287,-63.8666501
-338.6427776,-63.3170925
-339.4781196,-62.7675241
-340.3134544,-62.2179449
-341.148782,-61.6683549
-341.9841025,-61.1187539
-342.8194157,-60.5691419
-343.6547217,-60.0195189
-344.4900203,-59.4698848
-345.3253116,-58.9202395
-346.1605955,-58.370583
-346.995872,-57.8209151
-347.831141,-57.271236
-348.6664025,-56.7215454
-349.5016564,-56.1718433
-350.3369027,-55.6221297
-351.1721414,-55.0724045
-352.0073725,-54.5226676
-352.8425958,-53.972919
-353.6778113,-53.4231586
-354.5130191,-52.8733864
-355.348219,-52.3236023
